timestamp,LeftEye_Openness_Openness,RightEye_Openness_Openness,LeftEye_PupilDilation_PupilDilation,RightEye_PupilDilation_PupilDilation,LeftEye_PupilPosition_X,LeftEye_PupilPosition_Y,RightEye_PupilPosition_X,RightEye_PupilPosition_Y,LeftEye_Gaze_X,LeftEye_Gaze_Y,LeftEye_Gaze_Z,RightEye_Gaze_X,RightEye_Gaze_Y,RightEye_Gaze_Z,FMS,Condition
2025-07-14 16:58:08.427,1,1,2.493393,2.750137,0.5145391,0.5964762,0.5089978,0.5687891,-0.05718994,-0.09492493,0.9938354,-0.05453491,-0.05239868,0.9971313,0.0,MB
2025-07-14 16:58:08.435,1,1,2.496674,2.766708,0.5145825,0.596402,0.509047,0.5689799,-0.05775452,-0.09385681,0.9938965,-0.05418396,-0.05326843,0.9971008,0.0,MB
2025-07-14 16:58:08.443,1,1,2.496674,2.766708,0.5145825,0.596402,0.509047,0.5689799,-0.05775452,-0.09385681,0.9938965,-0.05418396,-0.05326843,0.9971008,0.0,MB
2025-07-14 16:58:08.451,1,1,2.496674,2.766708,0.5145825,0.596402,0.509047,0.5689799,-0.05775452,-0.09385681,0.9938965,-0.05418396,-0.05326843,0.9971008,0.0,MB
2025-07-14 16:58:08.459,1,1,2.496674,2.766708,0.5145825,0.596402,0.509047,0.5689799,-0.05775452,-0.09385681,0.9938965,-0.05418396,-0.05326843,0.9971008,0.0,MB
2025-07-14 16:58:08.467,1,1,2.496674,2.766708,0.5145825,0.596402,0.509047,0.5689799,-0.05775452,-0.09385681,0.9938965,-0.05418396,-0.05326843,0.9971008,0.0,MB
2025-07-14 16:58:08.475,1,1,2.496674,2.766708,0.5145825,0.596402,0.509047,0.5689799,-0.05775452,-0.09385681,0.9938965,-0.05418396,-0.05326843,0.9971008,0.0,MB
2025-07-14 16:58:08.484,1,1,2.496674,2.766708,0.5145825,0.596402,0.509047,0.5689799,-0.05775452,-0.09385681,0.9938965,-0.05418396,-0.05326843,0.9971008,0.0,MB
2025-07-14 16:58:08.492,1,1,2.496674,2.766708,0.5145825,0.596402,0.509047,0.5689799,-0.05775452,-0.09385681,0.9938965,-0.05418396,-0.05326843,0.9971008,0.0,MB
2025-07-14 16:58:08.500,1,1,2.496674,2.766708,0.5145825,0.596402,0.509047,0.5689799,-0.05775452,-0.09385681,0.9938965,-0.05418396,-0.05326843,0.9971008,0.0,MB
2025-07-14 16:58:08.510,1,1,2.496674,2.766708,0.5145825,0.596402,0.509047,0.5689799,-0.05775452,-0.09385681,0.9938965,-0.05418396,-0.05326843,0.9971008,0.0,MB
2025-07-14 16:58:08.520,1,1,2.494675,2.765121,0.5146482,0.5964762,0.5090962,0.5687891,-0.05828857,-0.09390259,0.993866,-0.0536499,-0.05233765,0.9971771,0.0,MB
2025-07-14 16:58:08.528,1,1,2.494675,2.765121,0.5146482,0.5964762,0.5090962,0.5687891,-0.05828857,-0.09390259,0.993866,-0.0536499,-0.05233765,0.9971771,0.0,MB
2025-07-14 16:58:08.536,1,1,2.494675,2.765121,0.5146482,0.5964762,0.5090962,0.5687891,-0.05828857,-0.09390259,0.993866,-0.0536499,-0.05233765,0.9971771,0.0,MB
2025-07-14 16:58:08.544,1,1,2.494675,2.765121,0.5146482,0.5964762,0.5090962,0.5687891,-0.05828857,-0.09390259,0.993866,-0.0536499,-0.05233765,0.9971771,0.0,MB
2025-07-14 16:58:08.552,1,1,2.494675,2.765121,0.5146482,0.5964762,0.5090962,0.5687891,-0.05828857,-0.09390259,0.993866,-0.0536499,-0.05233765,0.9971771,0.0,MB
2025-07-14 16:58:08.560,1,1,2.494675,2.765121,0.5146482,0.5964762,0.5090962,0.5687891,-0.05828857,-0.09390259,0.993866,-0.0536499,-0.05233765,0.9971771,0.0,MB
2025-07-14 16:58:08.568,1,1,2.494675,2.765121,0.5146482,0.5964762,0.5090962,0.5687891,-0.05828857,-0.09390259,0.993866,-0.0536499,-0.05233765,0.9971771,0.0,MB
2025-07-14 16:58:08.577,1,1,2.494675,2.765121,0.5146482,0.5964762,0.5090962,0.5687891,-0.05828857,-0.09390259,0.993866,-0.0536499,-0.05233765,0.9971771,0.0,MB
2025-07-14 16:58:08.585,1,1,2.494675,2.765121,0.5146482,0.5964762,0.5090962,0.5687891,-0.05828857,-0.09390259,0.993866,-0.0536499,-0.05233765,0.9971771,0.0,MB
2025-07-14 16:58:08.594,1,1,2.494675,2.765121,0.5146482,0.5964762,0.5090962,0.5687891,-0.05828857,-0.09390259,0.993866,-0.0536499,-0.05233765,0.9971771,0.0,MB
2025-07-14 16:58:08.602,1,1,2.497452,2.773956,0.5147139,0.596402,0.5094231,0.5688547,-0.05880737,-0.09292603,0.993927,-0.05554199,-0.05250549,0.9970703,0.0,MB
2025-07-14 16:58:08.610,1,1,2.497452,2.773956,0.5147139,0.596402,0.5094231,0.5688547,-0.05880737,-0.09292603,0.993927,-0.05554199,-0.05250549,0.9970703,0.0,MB
2025-07-14 16:58:08.619,1,1,2.497452,2.773956,0.5147139,0.596402,0.5094231,0.5688547,-0.05880737,-0.09292603,0.993927,-0.05554199,-0.05250549,0.9970703,0.0,MB
2025-07-14 16:58:08.627,1,1,2.497452,2.773956,0.5147139,0.596402,0.5094231,0.5688547,-0.05880737,-0.09292603,0.993927,-0.05554199,-0.05250549,0.9970703,0.0,MB
2025-07-14 16:58:08.635,1,1,2.497452,2.773956,0.5147139,0.596402,0.5094231,0.5688547,-0.05880737,-0.09292603,0.993927,-0.05554199,-0.05250549,0.9970703,0.0,MB
2025-07-14 16:58:08.643,1,1,2.497452,2.773956,0.5147139,0.596402,0.5094231,0.5688547,-0.05880737,-0.09292603,0.993927,-0.05554199,-0.05250549,0.9970703,0.0,MB
2025-07-14 16:58:08.651,1,1,2.497452,2.773956,0.5147139,0.596402,0.5094231,0.5688547,-0.05880737,-0.09292603,0.993927,-0.05554199,-0.05250549,0.9970703,0.0,MB
2025-07-14 16:58:08.659,1,1,2.497452,2.773956,0.5147139,0.596402,0.5094231,0.5688547,-0.05880737,-0.09292603,0.993927,-0.05554199,-0.05250549,0.9970703,0.0,MB
2025-07-14 16:58:08.669,1,1,2.497452,2.773956,0.5147139,0.596402,0.5094231,0.5688547,-0.05880737,-0.09292603,0.993927,-0.05554199,-0.05250549,0.9970703,0.0,MB
2025-07-14 16:58:08.677,1,1,2.497009,2.771332,0.5147541,0.5964762,0.5091041,0.5689204,-0.05914307,-0.09295654,0.9938965,-0.05348206,-0.05281067,0.9971619,0.0,MB
2025-07-14 16:58:08.685,1,1,2.497009,2.771332,0.5147541,0.5964762,0.5091041,0.5689204,-0.05914307,-0.09295654,0.9938965,-0.05348206,-0.05281067,0.9971619,0.0,MB
2025-07-14 16:58:08.694,1,1,2.497009,2.771332,0.5147541,0.5964762,0.5091041,0.5689204,-0.05914307,-0.09295654,0.9938965,-0.05348206,-0.05281067,0.9971619,0.0,MB
2025-07-14 16:58:08.702,1,1,2.497009,2.771332,0.5147541,0.5964762,0.5091041,0.5689204,-0.05914307,-0.09295654,0.9938965,-0.05348206,-0.05281067,0.9971619,0.0,MB
2025-07-14 16:58:08.710,1,1,2.497009,2.771332,0.5147541,0.5964762,0.5091041,0.5689204,-0.05914307,-0.09295654,0.9938965,-0.05348206,-0.05281067,0.9971619,0.0,MB
2025-07-14 16:58:08.719,1,1,2.497009,2.771332,0.5147541,0.5964762,0.5091041,0.5689204,-0.05914307,-0.09295654,0.9938965,-0.05348206,-0.05281067,0.9971619,0.0,MB
2025-07-14 16:58:08.729,1,1,2.497009,2.771332,0.5147541,0.5964762,0.5091041,0.5689204,-0.05914307,-0.09295654,0.9938965,-0.05348206,-0.05281067,0.9971619,0.0,MB
2025-07-14 16:58:08.737,1,1,2.497009,2.771332,0.5147541,0.5964762,0.5091041,0.5689204,-0.05914307,-0.09295654,0.9938965,-0.05348206,-0.05281067,0.9971619,0.0,MB
2025-07-14 16:58:08.746,1,1,2.497009,2.771332,0.5147541,0.5964762,0.5091041,0.5689204,-0.05914307,-0.09295654,0.9938965,-0.05348206,-0.05281067,0.9971619,0.0,MB
2025-07-14 16:58:08.754,1,1,2.49646,2.767654,0.5147942,0.5965503,0.5093651,0.5690455,-0.05947876,-0.09298706,0.9938812,-0.05491638,-0.05351257,0.9970551,0.0,MB
2025-07-14 16:58:08.762,1,1,2.49646,2.767654,0.5147942,0.5965503,0.5093651,0.5690455,-0.05947876,-0.09298706,0.9938812,-0.05491638,-0.05351257,0.9970551,0.0,MB
2025-07-14 16:58:08.770,1,1,2.49646,2.767654,0.5147942,0.5965503,0.5093651,0.5690455,-0.05947876,-0.09298706,0.9938812,-0.05491638,-0.05351257,0.9970551,0.0,MB
2025-07-14 16:58:08.779,1,1,2.49646,2.767654,0.5147942,0.5965503,0.5093651,0.5690455,-0.05947876,-0.09298706,0.9938812,-0.05491638,-0.05351257,0.9970551,0.0,MB
2025-07-14 16:58:08.787,1,1,2.49646,2.767654,0.5147942,0.5965503,0.5093651,0.5690455,-0.05947876,-0.09298706,0.9938812,-0.05491638,-0.05351257,0.9970551,0.0,MB
2025-07-14 16:58:08.795,1,1,2.49646,2.767654,0.5147942,0.5965503,0.5093651,0.5690455,-0.05947876,-0.09298706,0.9938812,-0.05491638,-0.05351257,0.9970551,0.0,MB
2025-07-14 16:58:08.803,1,1,2.49646,2.767654,0.5147942,0.5965503,0.5093651,0.5690455,-0.05947876,-0.09298706,0.9938812,-0.05491638,-0.05351257,0.9970551,0.0,MB
