Time,#Frame,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,FMSQ
2025-03-08 15:01:15.661,1,-0.04361941,3.572875e-07,1.559951e-08,0.9990483,355.0,4.098114e-05,-2.04333e-13,1
2025-03-08 15:01:16.152,2,-0.04361941,1.627656e-07,7.106503e-09,0.9990483,355.0,1.866934e-05,-1.532498e-13,1
2025-03-08 15:01:16.189,3,0.04361941,-1.627656e-07,-7.106503e-09,-0.9990483,355.0,1.866934e-05,-1.532498e-13,1
2025-03-08 15:01:16.293,4,0.06159034,-0.3889262,0.01452599,-0.9190932,354.1505,46.09242,355.6988,1
2025-03-08 15:01:16.338,5,0.06174897,-0.3888205,0.01465963,-0.9191251,354.1393,46.0813,355.6781,1
2025-03-08 15:01:16.374,6,0.06156187,-0.3887505,0.0145814,-0.9191685,354.1552,46.07047,355.6953,1
2025-03-08 15:01:16.404,7,0.06181672,-0.3885933,0.01471542,-0.9192157,354.1336,46.05382,355.6705,1
2025-03-08 15:01:16.435,8,0.06198987,-0.3885885,0.01476614,-0.9192053,354.1176,46.05506,355.6573,1
2025-03-08 15:01:16.466,9,0.0618676,-0.3885494,0.01497145,-0.9192268,354.1395,46.04995,355.6414,1
2025-03-08 15:01:16.497,10,0.06179827,-0.3885973,0.0150763,-0.9192095,354.1518,46.05574,355.6331,1
2025-03-08 15:01:16.527,11,0.06198967,-0.3886615,0.0149863,-0.9191709,354.1278,46.06516,355.6335,1
2025-03-08 15:01:16.555,12,0.06218244,-0.3886779,0.01501731,-0.9191504,354.109,46.06916,355.6214,1
2025-03-08 15:01:16.585,13,0.06260048,-0.3887538,0.01504366,-0.9190894,354.0665,46.0827,355.599,1
2025-03-08 15:01:16.615,14,0.06280123,-0.3889247,0.01507336,-0.9190031,354.0475,46.10606,355.5856,1
2025-03-08 15:01:16.646,15,0.0628575,-0.3890919,0.01493123,-0.9189308,354.036,46.12683,355.597,1
2025-03-08 15:01:16.676,16,0.06301665,-0.3892715,0.01474311,-0.9188468,354.0116,46.14993,355.6084,1
2025-03-08 15:01:16.705,17,0.0632723,-0.3893868,0.01463842,-0.9187821,353.9805,46.16628,355.6071,1
2025-03-08 15:01:16.735,18,0.06348874,-0.3893595,0.01452179,-0.9187805,353.9523,46.16442,355.6097,1
2025-03-08 15:01:16.764,19,0.0636346,-0.3892076,0.01450135,-0.9188352,353.9353,46.14675,355.6062,1
2025-03-08 15:01:16.794,20,0.06377796,-0.3890087,0.01432626,-0.9189121,353.9114,46.12248,355.6194,1
2025-03-08 15:01:16.822,21,0.06362319,-0.3888897,0.01445087,-0.9189712,353.9327,46.10672,355.6141,1
2025-03-08 15:01:16.850,22,0.06315833,-0.3885505,0.01454681,-0.9191453,353.9844,46.06036,355.6274,1
2025-03-08 15:01:16.880,23,0.06264014,-0.3882018,0.01465536,-0.9193264,354.0423,46.01242,355.6418,1
2025-03-08 15:01:16.907,24,0.06277026,-0.3881673,0.0147793,-0.9193301,354.0339,46.0099,355.623,1
2025-03-08 15:01:16.937,25,0.06299697,-0.3883146,0.01455069,-0.919256,354.0005,46.0294,355.6359,1
2025-03-08 15:01:16.965,26,0.06304529,-0.3885199,0.01448769,-0.919167,353.9935,46.05519,355.6391,1
