Timestamp,ECG_test1_ECGtoHR_LA_RA_CAL,Lead I (LA-RA),Lead II (LL-LA),Lead III (LL-RA),Vx-RL
2025-03-08 13:53:03.971,94.8148148148148,-0.0567018880504556,-0.0543059493503476,-0.1110077975913429,0.1275407345132467
2025-03-08 13:53:03.973,94.8148148148148,-0.0607489427623961,-0.0375099510196901,-0.0982588521578745,0.1337212984799033
2025-03-08 13:53:03.974,94.8148148148148,-0.0632864254198807,-0.0213973804480032,-0.0846837622896286,0.1394764128386787
2025-03-08 13:53:03.976,94.8148148148148,-0.0623303310048505,-0.0089444093605718,-0.0712746947518169,0.1434663041545394
2025-03-08 13:53:03.978,94.8148148148148,-0.0578393743767104,-0.0026887949387278,-0.060528121684504,0.1449040329013797
2025-03-08 13:53:03.980,94.8148148148148,-0.0518807128358863,-0.0035503385964579,-0.0554310018901256,0.1440571112367273
2025-03-08 13:53:03.982,94.8148148148148,-0.0475331846070759,-0.0102754430569609,-0.0578085763482325,0.1423538747431663
2025-03-08 13:53:03.984,94.8148148148148,-0.0471104380454782,-0.0199222305598961,-0.0670326156145742,0.1419207696448706
2025-03-08 13:53:03.986,94.8148148148148,-0.0507884672652519,-0.0291920849323045,-0.0799804975431647,0.1446508000244945
2025-03-08 13:53:03.988,94.8148148148148,-0.0564793737791687,-0.0359598199284547,-0.092439137312529,0.1511823464739904
2025-03-08 13:53:03.990,94.8148148148148,-0.060984859518784,-0.0402074268729502,-0.1011922281347521,0.1603214530837781
2025-03-08 13:53:03.992,94.8148148148148,-0.0617270978734637,-0.0437605913510499,-0.1054876290059736,0.1693121079006944
2025-03-08 13:53:03.994,94.8148148148148,-0.0581404993023921,-0.0488366460695595,-0.1069770831657632,0.1749406002527476
2025-03-08 13:53:03.996,94.8148148148148,-0.0520589499504804,-0.0562469563914631,-0.1083058422077319,0.1750050782521007
2025-03-08 13:53:03.998,94.8148148148148,-0.0468936355600758,-0.0645151871038207,-0.1114087567144269,0.1694605834620558
2025-03-08 13:53:04.000,94.8148148148148,-0.0459343404025978,-0.070644261484073,-0.116578534229067,0.1606412620173093
2025-03-08 13:53:04.002,94.8148148148148,-0.0505928313001187,-0.0720841166615134,-0.1226768786437441,0.1523531245747319
2025-03-08 13:53:04.004,94.8148148148148,-0.0595431790747526,-0.0685745739573384,-0.1281176820215127,0.1482217974424262
2025-03-08 13:53:04.006,94.8148148148148,-0.0692824125260715,-0.0626456956301918,-0.1319280353615928,0.1501384639349283
2025-03-08 13:53:04.008,94.8148148148148,-0.0758493511831174,-0.0584613690462055,-0.134310645551078,0.1576035662580868
2025-03-08 13:53:04.010,94.8148148148148,-0.0768196090878769,-0.0596571844207441,-0.1364767168924098,0.168216819296518
2025-03-08 13:53:04.012,94.8148148148148,-0.072578180397929,-0.0673116022713668,-0.1398897041337325,0.1789092472918867
2025-03-08 13:53:04.014,94.8148148148148,-0.0662146559177309,-0.0791205036405863,-0.1453350791842485,0.1871975546451642
2025-03-08 13:53:04.016,94.8148148148148,-0.0620117429881374,-0.0903172857423656,-0.1523289466185486,0.1918967554392267
2025-03-08 13:53:04.017,94.8148148148148,-0.0632257445916334,-0.0960226890174631,-0.1592483498285406,0.1931628023522593
2025-03-08 13:53:04.019,94.8148148148148,-0.0703380767561071,-0.0938710391150481,-0.1642090304267956,0.1921012749168197
2025-03-08 13:53:04.021,94.8148148148148,-0.0807689200309212,-0.0854752493426007,-0.1662440822068654,0.1902267176964859
2025-03-08 13:53:04.023,94.8148148148148,-0.0902012613508211,-0.0758363905535283,-0.1660375629273207,0.1889092566225924
2025-03-08 13:53:04.025,94.8148148148148,-0.0947562167605013,-0.0708970818338433,-0.165653207737086,0.1889038835495777
2025-03-08 13:53:04.027,94.8148148148148,-0.0928898798811756,-0.0744456431515928,-0.1673354302805613,0.190144989431652
2025-03-08 13:53:04.029,94.8148148148148,-0.0861324665916785,-0.0859523561076162,-0.1720847281000641,0.1919535745789221
2025-03-08 13:53:04.031,94.8148148148148,-0.078366406103032,-0.1005045005333857,-0.1788708102759197,0.1935627238130921
2025-03-08 13:53:04.033,94.8148148148148,-0.0739689856935407,-0.1110287388079248,-0.1849976264598065,0.1946366567635134
2025-03-08 13:53:04.035,94.8148148148148,-0.0756514792897288,-0.1118710624986969,-0.1875224421006191,0.195477307064302
2025-03-08 13:53:04.037,94.8148148148148,-0.0830061557535656,-0.102023645847423,-0.1850297002415183,0.1968644259977954
2025-03-08 13:53:04.039,94.8148148148148,-0.0924812264831693,-0.0862703105673041,-0.1787514339490972,0.1997140570312417
2025-03-08 13:53:04.041,94.8148148148148,-0.0988587386784215,-0.0734276244301107,-0.1722862581885483,0.2047651346768061
2025-03-08 13:53:04.043,94.8148148148148,-0.0976303523637896,-0.0723341591207436,-0.1699644047036086,0.2123729131177039
2025-03-08 13:53:04.045,94.8148148148148,-0.0872217246537508,-0.0874888876075807,-0.1747105036341648,0.2224116812057979
2025-03-08 13:53:04.047,94.8148148148148,-0.0699717804115204,-0.1165111606074756,-0.1864828306106865,0.234342955311511
2025-03-08 13:53:04.049,94.8148148148148,-0.051245327178577,-0.1507073103930284,-0.2019525254655486,0.2475319447284759
2025-03-08 13:53:04.051,94.8148148148148,-0.0369400692212866,-0.1784930803952313,-0.2154330358733752,0.2617691603297802
2025-03-08 13:53:04.053,94.8148148148148,-0.0304637576655388,-0.1900882029057911,-0.2205518451998536,0.2778166911181696
2025-03-08 13:53:04.055,94.8148148148148,-0.0304985685697502,-0.1814032372010663,-0.2119016887251137,0.2978158471526169
2025-03-08 13:53:04.057,94.8148148148148,-0.030454833374629,-0.1554964666197222,-0.1859511811987855,0.3254213511125308
2025-03-08 13:53:04.058,94.8148148148148,-0.0197570559133899,-0.1210941935765051,-0.1408511288789821,0.3653754664502834
2025-03-08 13:53:04.060,94.8148148148148,0.0135617009634006,-0.0889016567493056,-0.0753398333391098,0.4221502437786137
2025-03-08 13:53:04.062,94.8148148148148,0.0796904186622678,-0.0671543537961395,0.0125361891121982,0.4976916844204374
2025-03-08 13:53:04.064,94.8148148148148,0.1837496811719226,-0.0577416436866231,0.1260081634535038,0.5890504885116858
2025-03-08 13:53:04.066,94.8148148148148,0.3225410816541808,-0.0536226326235592,0.2689185766404871,0.6870864723826146
2025-03-08 13:53:04.068,94.8148148148148,0.4818141631467386,-0.0379032563770213,0.4439110359766481,0.7770989923716999
2025-03-08 13:53:04.070,94.8148148148148,0.6354931881795574,0.0147876290559614,0.650280948052283,0.8414829174426173
2025-03-08 13:53:04.072,94.8148148148148,0.7489828998964227,0.1335881480707906,0.8825711804566825,0.863803538882645
2025-03-08 13:53:04.074,94.8148148148148,0.7877017682581575,0.3427493313425225,1.130451233843123,0.8331104487651784
2025-03-08 13:53:04.076,94.8148148148148,0.729022036993431,0.6502259214681851,1.37924809451272,0.7469272480434586
2025-03-08 13:53:04.078,94.8148148148148,0.5725746760098299,1.0373358517563434,1.609910665626898,0.6116417333341024
2025-03-08 13:53:04.080,94.8148148148148,0.3432360486139327,1.4550949576249224,1.7983311458525886,0.4403037063663264
2025-03-08 13:53:04.082,94.8148148148148,0.0842327365421041,1.831786820261434,1.9160196980824489,0.2493305121098326
2025-03-08 13:53:04.084,94.8148148148148,-0.1571548875494053,2.091770069478808,1.9346153247970628,0.0558928345658034
2025-03-08 13:53:04.086,94.8148148148148,-0.3450300155049743,2.1793220684041383,1.834292197327972,-0.1234904896806633
2025-03-08 13:53:04.088,94.8148148148148,-0.4647310113499469,2.0773442969170044,1.612613431591271,-0.2739622898762535
2025-03-08 13:53:04.090,94.8148148148148,-0.5232386567588847,1.812261297898108,1.289022788836618,-0.3838201964386155
2025-03-08 13:53:04.092,94.8148148148148,-0.5409378030418435,1.4432007885417564,0.9022631349510566,-0.446391861704094
2025-03-08 13:53:04.094,94.8148148148148,-0.5396338634458075,1.0414018551000652,0.501768142899948,-0.461350800822828
2025-03-08 13:53:04.096,94.8148148148148,-0.5330819102648873,0.6696182220806728,0.1365364648343094,-0.4345742003847722
2025-03-08 13:53:04.098,94.8148148148148,-0.5240862375762557,0.3691448313631485,-0.1549412514971658,-0.3764145722917019
2025-03-08 13:53:04.099,94.8148148148148,-0.5078998547214966,0.1566721586276838,-0.3512275397735105,-0.2990462027292184
2025-03-08 13:53:04.101,94.8148148148148,-0.4782243300144546,0.0285924509614222,-0.4496317211939514,-0.213821642218784
2025-03-08 13:53:04.103,94.8148148148148,-0.431825707482061,-0.0313986203126186,-0.4632241684036378,-0.1294029291584258
2025-03-08 13:53:04.105,94.8148148148148,-0.3700913073972398,-0.0449412842397731,-0.41503243066051,-0.0510806028127016
2025-03-08 13:53:04.107,94.8148148148148,-0.2982508507757421,-0.0335945322864543,-0.3318452204154197,0.0187702404709308
2025-03-08 13:53:04.109,94.8148148148148,-0.223751170220929,-0.0153311006585358,-0.2390821064911603,0.07959503900006
2025-03-08 13:53:04.111,94.8148148148148,-0.1546914569848722,-0.0023137846600472,-0.1570050754953898,0.1315745231224124
2025-03-08 13:53:04.113,94.8148148148148,-0.0984434836352073,0.0001668621006548,-0.0982764536675593,0.1749846855352622
