Time,#Frame,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,FMS,Condition
2025-05-30 16:47:44.528,1,-0.04361941,3.572875e-07,1.559951e-08,0.9990483,355.0,4.098114e-05,-2.04333e-13,2,NB
2025-05-30 16:47:45.043,2,-0.04361941,1.627656e-07,7.106503e-09,0.9990483,355.0,1.866934e-05,-1.532498e-13,2,NB
2025-05-30 16:47:45.111,3,0.04361941,-1.627656e-07,-7.106503e-09,-0.9990483,355.0,1.866934e-05,-1.532498e-13,2,NB
2025-05-30 16:47:45.199,4,0.073369,-0.1190502,0.00773525,-0.9901435,351.7525,13.84902,358.1014,2,NB
2025-05-30 16:47:45.311,5,0.0738156,-0.120029,0.008608829,-0.989985,351.7156,13.97179,357.9867,2,NB
2025-05-30 16:47:45.406,6,0.0732982,-0.1200564,0.00876194,-0.9900187,351.7768,13.97411,357.9763,2,NB
2025-05-30 16:47:45.486,7,0.07340939,-0.119853,0.008311478,-0.9900391,351.7574,13.94724,358.0281,2,NB
2025-05-30 16:47:45.581,8,0.074162,-0.1193771,0.007689747,-0.9900454,351.662,13.88981,358.0926,2,NB
2025-05-30 16:47:45.671,9,0.07454431,-0.1199929,0.00757724,-0.9899433,351.6181,13.96205,358.0948,2,NB
2025-05-30 16:47:45.770,10,0.07469594,-0.1206678,0.007574203,-0.9898497,351.6021,14.04116,358.0872,2,NB
2025-05-30 16:47:45.850,11,0.07431346,-0.1210739,0.007517306,-0.9898294,351.6456,14.08641,358.0958,2,NB
2025-05-30 16:47:45.927,12,0.0738567,-0.1206966,0.007187933,-0.9899121,351.6924,14.03799,358.1433,2,NB
2025-05-30 16:47:46.024,13,0.07362024,-0.1204861,0.006711485,-0.9899587,351.7122,14.00867,358.2031,2,NB
2025-05-30 16:47:46.116,14,0.07360148,-0.120759,0.00656503,-0.9899279,351.7128,14.03914,358.2179,2,NB
2025-05-30 16:47:46.214,15,0.07305846,-0.1212926,0.006949864,-0.9899002,351.7811,14.10225,358.1772,2,NB
2025-05-30 16:47:46.304,16,0.07289882,-0.1221693,0.007385433,-0.989801,351.8071,14.20714,358.1223,2,NB
2025-05-30 16:47:46.406,17,0.07254606,-0.1223682,0.007266681,-0.9898032,351.846,14.22792,358.1394,2,NB
2025-05-30 16:47:46.486,18,0.07257354,-0.1222324,0.007190032,-0.9898186,351.8415,14.21162,358.1489,2,NB
2025-05-30 16:47:46.586,19,0.07300876,-0.1223821,0.007055264,-0.989769,351.7903,14.22966,358.1567,2,NB
2025-05-30 16:47:46.681,20,0.07312166,-0.1228143,0.007153371,-0.9897064,351.7796,14.28118,358.1402,2,NB
2025-05-30 16:47:46.770,21,0.07326567,-0.1228272,0.007032331,-0.9896951,351.7615,14.28227,358.1519,2,NB
2025-05-30 16:47:46.871,22,0.07373426,-0.1226046,0.007253997,-0.9896863,351.7108,14.26005,358.1214,2,NB
2025-05-30 16:47:46.944,23,0.07374157,-0.1227784,0.007236729,-0.9896643,351.7101,14.28016,358.1219,2,NB
2025-05-30 16:47:47.027,24,0.0737382,-0.1220553,0.007752304,-0.9897501,351.7164,14.20022,358.0689,2,NB
2025-05-30 16:47:47.119,25,0.07375629,-0.1224094,0.007717088,-0.9897053,351.7146,14.2412,358.0697,2,NB
2025-05-30 16:47:47.193,26,0.07758574,-0.122458,0.007807783,-0.9894058,351.2794,14.26346,358.0026,2,NB
2025-05-30 16:47:47.280,27,0.08930218,-0.1226111,0.009292909,-0.9883853,349.9649,14.34885,357.6563,2,NB
2025-05-30 16:47:47.377,28,0.1047431,-0.1223778,0.01096386,-0.9868802,348.2259,14.42319,357.232,2,NB
2025-05-30 16:47:47.437,29,0.1188351,-0.1221205,0.01247742,-0.9852965,346.6365,14.5009,356.8412,2,NB
2025-05-30 16:47:47.488,30,0.1271148,-0.1216007,0.01315,-0.9843183,345.6973,14.5068,356.6395,2,NB
2025-05-30 16:47:47.540,31,0.1324196,-0.1212639,0.01356855,-0.9836546,345.0948,14.51234,356.511,2,NB
2025-05-30 16:47:47.589,32,0.1418116,-0.1210288,0.01427339,-0.9823635,344.0281,14.56909,356.2804,2,NB
2025-05-30 16:47:47.642,33,0.1468426,-0.1207,0.01456742,-0.9816602,343.4542,14.57648,356.1689,2,NB
2025-05-30 16:47:47.691,34,0.1554498,-0.1203429,0.0153983,-0.9803653,342.477,14.62327,355.9345,2,NB
2025-05-30 16:47:47.743,35,0.1621283,-0.1202383,0.01617281,-0.9792833,341.7207,14.68664,355.7322,2,NB
2025-05-30 16:47:47.793,36,0.1692991,-0.1204287,0.01711648,-0.9780296,340.911,14.79761,355.4931,2,NB
2025-05-30 16:47:47.844,37,0.1735709,-0.1203305,0.01765668,-0.9772831,340.4271,14.84015,355.3562,2,NB
2025-05-30 16:47:47.895,38,0.1825185,-0.1199276,0.01886279,-0.9756787,339.4127,14.91239,355.0617,2,NB
2025-05-30 16:47:47.943,39,0.1886592,-0.1200954,0.01995342,-0.9744675,338.7221,15.02618,354.8156,2,NB
