Time,#Frame,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,FMSQ
2025-03-05 13:24:33.662,2,-0.04361941,1.627656e-07,7.106503e-09,0.9990483,355.0,1.866934e-05,-1.532498e-13,3
2025-03-05 13:24:33.738,3,0.04361941,-1.627656e-07,-7.106503e-09,-0.9990483,355.0,1.866934e-05,-1.532498e-13,3
2025-03-05 13:24:33.820,4,0.007280583,-0.47858,0.05277808,-0.8764262,2.163733,57.16627,354.2866,3
2025-03-05 13:24:33.863,5,0.007074983,-0.478514,0.05272175,-0.8764673,2.180871,57.15682,354.3034,3
2025-03-05 13:24:33.893,6,0.007035294,-0.4785664,0.05250525,-0.876452,2.173308,57.16377,354.3275,3
2025-03-05 13:24:33.921,7,0.007052748,-0.4785636,0.05248284,-0.8764548,2.170305,57.16352,354.3288,3
2025-03-05 13:24:33.953,8,0.006984348,-0.4784669,0.05262566,-0.8764995,2.184399,57.15042,354.3179,3
2025-03-05 13:24:33.981,9,0.006656163,-0.4784041,0.05265694,-0.8765345,2.218696,57.14074,354.3326,3
2025-03-05 13:24:34.011,10,0.006533609,-0.4784351,0.0526771,-0.8765172,2.232322,57.14423,354.3373,3
2025-03-05 13:24:34.042,11,0.006318596,-0.4784093,0.05279264,-0.8765259,2.260111,57.13978,354.3374,3
2025-03-05 13:24:34.071,12,0.006161557,-0.4784337,0.0529103,-0.8765067,2.282513,57.14212,354.3342,3
2025-03-05 13:24:34.099,13,0.006101334,-0.4783884,0.05295475,-0.8765291,2.290715,57.1359,354.3329,3
2025-03-05 13:24:34.130,14,0.00588311,-0.478385,0.05309784,-0.8765238,2.320486,57.13432,354.3304,3
2025-03-05 13:24:34.159,15,0.005766855,-0.4783429,0.05314393,-0.8765448,2.33443,57.12827,354.3319,3
2025-03-05 13:24:34.186,16,0.005584338,-0.4782912,0.05311994,-0.8765756,2.351127,57.1208,354.3442,3
2025-03-05 13:24:34.221,17,0.005389315,-0.4782572,0.05305041,-0.8765996,2.366698,57.11564,354.3618,3
2025-03-05 13:24:34.250,18,0.005255581,-0.4782116,0.05300453,-0.8766282,2.377332,57.1092,354.3736,3
2025-03-05 13:24:34.283,19,0.004877281,-0.4780386,0.05298081,-0.876726,2.412961,57.08512,354.3962,3
2025-03-05 13:24:34.317,20,0.004770149,-0.4779322,0.05296871,-0.8767854,2.422391,57.07082,354.403,3
2025-03-05 13:24:34.345,21,0.004523558,-0.4778289,0.05282062,-0.8768519,2.43841,57.05657,354.4311,3
2025-03-05 13:24:34.373,22,0.004582901,-0.4778405,0.0527472,-0.8768497,2.42849,57.05843,354.4353,3
2025-03-05 13:24:34.405,23,0.004544755,-0.4777484,0.0526493,-0.876906,2.426375,57.04642,354.447,3
2025-03-05 13:24:34.434,24,0.004670911,-0.477821,0.05261058,-0.8768681,2.412024,57.05645,354.4442,3
2025-03-05 13:24:34.462,25,0.004427058,-0.4777086,0.05296763,-0.8769091,2.455413,57.04028,354.4212,3
2025-03-05 13:24:34.491,26,0.004241758,-0.4777057,0.05293758,-0.8769134,2.472384,57.0392,354.4344,3
2025-03-05 13:24:34.520,27,0.004279082,-0.477657,0.05297133,-0.8769376,2.470172,57.03295,354.4288,3
2025-03-05 13:24:34.549,28,0.004392573,-0.4776539,0.05308387,-0.876932,2.464906,57.03282,354.4112,3
2025-03-05 13:24:34.577,29,0.004356951,-0.4776087,0.05310513,-0.8769555,2.469366,57.02676,354.4109,3
2025-03-05 13:24:34.604,30,0.00427561,-0.4775757,0.05325511,-0.8769648,2.485558,57.02189,354.4001,3
2025-03-05 13:24:34.631,31,0.004445032,-0.4776519,0.05321332,-0.8769251,2.466712,57.03257,354.3953,3
2025-03-05 13:24:34.659,32,0.004446764,-0.477682,0.05328809,-0.8769041,2.470829,57.03639,354.3877,3
2025-03-05 13:24:34.687,33,0.004428425,-0.4777245,0.05329432,-0.8768806,2.473287,57.04185,354.3882,3
2025-03-05 13:24:34.716,34,0.004408055,-0.4777286,0.05322385,-0.8768828,2.471498,57.04241,354.3965,3
2025-03-05 13:24:34.743,35,0.004516968,-0.4777397,0.05340657,-0.876865,2.470634,57.04402,354.3721,3
2025-03-05 13:24:34.770,36,0.004341149,-0.4776837,0.05359823,-0.8768848,2.498464,57.03571,354.3622,3
2025-03-05 13:24:34.800,37,0.004301858,-0.4776596,0.0534747,-0.8769056,2.495491,57.03261,354.3767,3
2025-03-05 13:24:34.827,38,0.00416676,-0.4776424,0.0536277,-0.8769063,2.517355,57.02958,354.3686,3
2025-03-05 13:24:34.855,39,0.004197002,-0.4776983,0.05365949,-0.8768737,2.516415,57.03694,354.3639,3
2025-03-05 13:24:34.883,40,0.004168612,-0.4776569,0.05376011,-0.8768903,2.52452,57.03127,354.3552,3
2025-03-05 13:24:34.912,41,0.004060746,-0.477607,0.05391733,-0.8769083,2.543666,57.02408,354.3451,3
2025-03-05 13:24:34.940,42,0.004091472,-0.4777205,0.05393652,-0.8768452,2.542358,57.03897,354.3418,3
2025-03-05 13:24:34.969,43,0.004157119,-0.4777914,0.05383168,-0.8768127,2.530465,57.04865,354.349,3
2025-03-05 13:24:34.996,44,0.003912949,-0.4776872,0.05382351,-0.8768712,2.553905,57.03409,354.3628,3
2025-03-05 13:24:35.025,45,0.003763144,-0.4775513,0.05381745,-0.8769462,2.567769,57.01579,354.3712,3
2025-03-05 13:24:35.052,46,0.003887781,-0.4775309,0.05379962,-0.8769578,2.554124,57.01366,354.3662,3
2025-03-05 13:24:35.080,47,0.003690288,-0.4773912,0.05384239,-0.877032,2.575439,56.99459,354.3722,3
2025-03-05 13:24:35.107,48,0.003455558,-0.477329,0.05394054,-0.8770608,2.604033,56.9854,354.3749,3
2025-03-05 13:24:35.135,49,0.003482067,-0.4773851,0.05389316,-0.8770331,2.599129,56.99289,354.3784,3
2025-03-05 13:24:35.163,50,0.003580977,-0.4773898,0.05371485,-0.8770411,2.579439,56.99417,354.3911,3
2025-03-05 13:24:35.191,51,0.00371632,-0.4773362,0.05358694,-0.8770775,2.558474,56.98792,354.3964,3
2025-03-05 13:24:35.220,52,0.003770304,-0.4773398,0.05361749,-0.8770735,2.55474,56.98855,354.3904,3
2025-03-05 13:24:35.247,53,0.003623673,-0.477325,0.05388217,-0.877066,2.583896,56.98562,354.3716,3
2025-03-05 13:24:35.274,54,0.00360426,-0.4773051,0.05376288,-0.8770841,2.579188,56.98314,354.3847,3
