Time,#Frame,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,FMSQ
2025-03-07 14:08:24.481,1,-0.04361941,3.572875e-07,1.559951e-08,0.9990483,355.0,4.098114e-05,-2.04333e-13,0
2025-03-07 14:08:25.063,2,-0.04361941,1.627656e-07,7.106503e-09,0.9990483,355.0,1.866934e-05,-1.532498e-13,0
2025-03-07 14:08:25.110,3,0.04361941,-1.627656e-07,-7.106503e-09,-0.9990483,355.0,1.866934e-05,-1.532498e-13,0
2025-03-07 14:08:25.214,4,0.08396433,-0.7030547,0.002227306,-0.7061581,353.3703,90.15411,352.991,0
2025-03-07 14:08:25.257,5,0.09206901,-0.6873457,0.003229439,-0.7204643,352.6329,87.79494,352.3968,0
2025-03-07 14:08:25.286,6,0.09534927,-0.6822488,0.002876822,-0.7248703,352.2815,87.05625,352.2123,0
2025-03-07 14:08:25.313,7,0.09840105,-0.6774132,0.001886795,-0.7289891,351.8995,86.3598,352.1003,0
2025-03-07 14:08:25.339,8,0.1002063,-0.6748148,0.001975655,-0.7311497,351.7284,85.99207,351.9763,0
2025-03-07 14:08:25.367,9,0.1020231,-0.6727195,0.002032939,-0.7328272,351.5587,85.70505,351.8491,0
2025-03-07 14:08:25.395,10,0.1039256,-0.6698827,0.001516729,-0.7351562,351.3284,85.30513,351.7726,0
2025-03-07 14:08:25.422,11,0.1044012,-0.6686654,0.000798255,-0.7361974,351.2193,85.1257,351.8095,0
2025-03-07 14:08:25.447,12,0.1050332,-0.6674418,-0.0004507266,-0.7372173,351.0562,84.94859,351.8792,0
2025-03-07 14:08:25.471,13,0.1049114,-0.6673533,-0.001127463,-0.7373141,351.013,84.93124,351.9474,0
2025-03-07 14:08:25.498,14,0.1045658,-0.6675861,-0.001879241,-0.7371508,350.9863,84.95865,352.0358,0
2025-03-07 14:08:25.522,15,0.103929,-0.6682605,-0.002761515,-0.736627,350.9785,85.04799,352.1533,0
2025-03-07 14:08:25.547,16,0.103782,-0.6689482,-0.004111786,-0.7360169,350.8934,85.15037,352.2708,0
2025-03-07 14:08:25.573,17,0.1038617,-0.669809,-0.004686224,-0.7352189,350.8511,85.28594,352.3022,0
2025-03-07 14:08:25.598,18,0.1040327,-0.6708344,-0.005411745,-0.7342542,350.7911,85.44939,352.3369,0
2025-03-07 14:08:25.624,19,0.104123,-0.6720629,-0.006857611,-0.7331051,350.6837,85.64233,352.4359,0
2025-03-07 14:08:25.650,20,0.1043139,-0.6728477,-0.007728701,-0.732349,350.608,85.76897,352.4837,0
2025-03-07 14:08:25.675,21,0.1045219,-0.6738183,-0.008819235,-0.7314141,350.5154,85.92514,352.546,0
