Timestamp,Lead I (LA-RA),Lead II (LL-LA),Lead III (LL-RA),Vx-RL,FMS,Condition
2025-07-15 16:19:34.988,-0.0690063140582181,-0.0181645289498431,-0.0871708436377671,-0.0148165742584134,0,NB
2025-07-15 16:19:34.992,-0.0554755437282439,-0.0106071264965107,-0.0660826708521077,-0.0148489731905921,0,NB
2025-07-15 16:19:34.996,-0.0442400754615898,-0.0032887623977603,-0.0475288384843593,-0.0101416118242736,0,NB
2025-07-15 16:19:35.000,-0.0371325650432196,-0.0046604885661139,-0.0417930542319843,-0.0065196966843511,0,NB
2025-07-15 16:19:35.004,-0.0310943257638616,-0.0136101632207978,-0.0447044896048923,-0.0090636964931462,0,NB
2025-07-15 16:19:35.008,-0.0236580178210688,-0.0184628273432475,-0.0421208457820269,-0.0143227948463985,0,NB
2025-07-15 16:19:35.012,-0.0145813694501848,-0.0139351658754891,-0.0285165359407829,-0.017958222560648,0,NB
2025-07-15 16:19:35.016,-0.0057796519267444,-0.0068341001241733,-0.0126137526634467,-0.0200013312042996,0,NB
2025-07-15 16:19:35.020,-0.0007195042487788,-0.0034922394891634,-0.004211744347923,-0.0192677112690082,0,NB
2025-07-15 16:19:35.023,-0.000297157076883,-0.0020196270189264,-0.0023167847031313,-0.0134510983793215,0,NB
2025-07-15 16:19:35.027,0.0003244637845006,0.0008067811751969,0.0011312443551992,-0.0061673860993985,0,NB
2025-07-15 16:19:35.031,0.0070602849558873,0.0040929847569933,0.0111532691112012,-0.0047062871859941,0,NB
2025-07-15 16:19:35.035,0.0194412708643043,0.0070510665111972,0.0264923367765305,-0.0104188229449015,0,NB
2025-07-15 16:19:35.039,0.0316864408485585,0.0109650702474064,0.042651510499768,-0.0169798101415947,0,NB
2025-07-15 16:19:35.043,0.041309975217975,0.0140989513564468,0.0554089259812194,-0.0178826655101279,0,NB
2025-07-15 16:19:35.047,0.0515258257982009,0.0113802454647759,0.0629060706728177,-0.0127300768193733,0,NB
2025-07-15 16:19:35.051,0.0636176154359352,0.0023370658541637,0.0659546807028282,-0.005941046489642,0,NB
2025-07-15 16:19:35.055,0.0736708254575605,-0.0061047299680481,0.0675660949051228,-0.000819214802598,0,NB
2025-07-15 16:19:35.059,0.0802959455873979,-0.0078680714976138,0.0724278735085043,0.0036871075595191,0,NB
2025-07-15 16:19:35.063,0.0883965193533498,-0.0042517429303446,0.0841447758449397,0.0103285431329269,0,NB
2025-07-15 16:19:35.066,0.1012316403139649,0.0003616492483792,0.1015932889873334,0.0187134719915189,0,NB
2025-07-15 16:19:35.070,0.1156269749407712,0.0042578616989411,0.1198848360676852,0.0245385900833528,0,NB
2025-07-15 16:19:35.074,0.1282815277859077,0.006662650101367,0.1349441773184355,0.0247167071687721,0,NB
2025-07-15 16:19:35.078,0.1402712202562498,0.0055500332888029,0.1458212529795496,0.0216169491647847,0,NB
2025-07-15 16:19:35.082,0.152799868231635,0.0010860973216337,0.1538859649909672,0.0193972031490447,0,NB
2025-07-15 16:19:35.086,0.1639707164475386,-0.0031121702137938,0.1608585456745271,0.0182087762913921,0,NB
2025-07-15 16:19:35.090,0.1719943197171285,-0.0050221974184435,0.1669721217427062,0.0163402863896797,0,NB
2025-07-15 16:19:35.094,0.1781724074155927,-0.0064613363732751,0.171711070489744,0.0153894910260882,0,NB
2025-07-15 16:19:35.098,0.1849484666165095,-0.0085863058954363,0.1763621601718108,0.0178870752187655,0,NB
2025-07-15 16:19:35.102,0.1928107292060129,-0.0090219310228668,0.1837887976370605,0.0221447338157449,0,NB
