Timestamp,Lead I (LA-RA),Lead II (LL-LA),Lead III (LL-RA),Vx-RL
2025-07-15 16:12:39.368,0.0559485736987323,-0.0179823668404973,0.0379662062274343,0.0238540027885382
2025-07-15 16:12:39.372,0.0694991907606425,-0.0196641106597529,0.0498350794672137,0.0532518860015788
2025-07-15 16:12:39.376,0.0812592206049038,-0.0216315746430739,0.0596276453252911,0.0648625281517236
2025-07-15 16:12:39.379,0.091416935077657,-0.0226861298719881,0.068730804566586,0.0609481835879048
2025-07-15 16:12:39.383,0.1002268861104374,-0.0211037107996152,0.0791231746693558,0.0591475477230528
2025-07-15 16:12:39.387,0.1100065685445541,-0.0190454438707168,0.0909611240297966,0.0691537539802736
2025-07-15 16:12:39.391,0.1257111488410976,-0.0219319868327919,0.103779161361567,0.0813652814771614
2025-07-15 16:12:39.395,0.1482922818286187,-0.0299828658998117,0.1183094152796232,0.0829327138725471
2025-07-15 16:12:39.399,0.1707679630860245,-0.0355024082945333,0.1352655541401463,0.0764452844731713
2025-07-15 16:12:39.403,0.1862140509548498,-0.0329885451715963,0.1532255051296471,0.0746311074209289
2025-07-15 16:12:39.407,0.1963843541811011,-0.026531992511087,0.1698523610139163,0.0819600572424913
2025-07-15 16:12:39.411,0.2072912467959154,-0.0230869379610463,0.18420430817642,0.0904098321321322
2025-07-15 16:12:39.415,0.2192754878893563,-0.0236138132621244,0.1956616739667929,0.0929968673522885
2025-07-15 16:12:39.419,0.2272211399856921,-0.0242938385085114,0.2029273008147714,0.0941581589060538
2025-07-15 16:12:39.422,0.2293111411341054,-0.0227387494141197,0.2065723910553132,0.1021171634935889
2025-07-15 16:12:39.426,0.2303928239130175,-0.020940252183522,0.2094525710625597,0.1149858820305432
2025-07-15 16:12:39.430,0.2359970539009279,-0.023025125223486,0.2129719280086357,0.1229248652923489
2025-07-15 16:12:39.434,0.2456334834480106,-0.029157100979151,0.216476381798345,0.123648909800403
2025-07-15 16:12:39.438,0.2534611182448339,-0.0331453528851352,0.2203157646871686,0.1244794236543569
2025-07-15 16:12:39.442,0.2557384641224891,-0.0307667502729156,0.22497171317487,0.1268933825555813
2025-07-15 16:12:39.446,0.2549323716801044,-0.027425244189309,0.2275071268142872,0.1229761732682907
2025-07-15 16:12:39.450,0.2531520841639447,-0.0295555202148441,0.223596563271099,0.1112512075428553
2025-07-15 16:12:39.454,0.2457192794146884,-0.0328106156366816,0.2129086630982492,0.1012540295118187
2025-07-15 16:12:39.458,0.2280221721779337,-0.029722887806188,0.198299283689915,0.0978086815247679
2025-07-15 16:12:39.461,0.204538506233316,-0.0243900495171244,0.1801484560325643,0.0940947844904752
2025-07-15 16:12:39.465,0.1826864173091145,-0.0267780542441972,0.1559083623799423,0.0842202073934494
2025-07-15 16:12:39.469,0.1615045765406856,-0.0357400130748459,0.1257645627793717,0.0719128797803458
2025-07-15 16:12:39.473,0.1350330190999576,-0.0403322440712377,0.0947007743403137,0.0630821004000519
2025-07-15 16:12:39.477,0.1038832114020748,-0.0369424886228905,0.0669407220889561,0.0572387337225157
2025-07-15 16:12:39.481,0.0756964594182446,-0.0340626773694043,0.041633781357327,0.0497695745785515
2025-07-15 16:12:39.485,0.0557112169502553,-0.0386830227072775,0.0170281935502113,0.0380253599267004
2025-07-15 16:12:39.489,0.0418939800185938,-0.0466534007743544,-0.0047594214502862,0.0234930800936323
2025-07-15 16:12:39.493,0.0287671788986383,-0.0502125651820633,-0.0214453869797987,0.0119761953098714
2025-07-15 16:12:39.497,0.0140567607423299,-0.0488079846021643,-0.0347512245575118,0.0098187843948221
2025-07-15 16:12:39.501,0.0011735311450928,-0.0469299018151209,-0.0457563713687715,0.0153567482074514
2025-07-15 16:12:39.504,-0.0055802567141155,-0.045755882462952,-0.0513361398773464,0.0191414187452966
2025-07-15 16:12:39.508,-0.0069111803399847,-0.0437033725330607,-0.0506145535751516,0.0155682694375706
2025-07-15 16:12:39.512,-0.0071732402877427,-0.0416832954933781,-0.048856536484596,0.0067910798239539
2025-07-15 16:12:39.516,-0.0090278634300685,-0.0409061114587654,-0.0499339755932585,-0.0040262802342884
2025-07-15 16:12:39.520,-0.0123399656501614,-0.0389221728943386,-0.0512621392502152,-0.0144036152524657
2025-07-15 16:12:39.524,-0.0162368451194168,-0.0339713369158539,-0.0502081827427206,-0.0205926301286997
2025-07-15 16:12:39.528,-0.019825892345292,-0.0291895798876989,-0.0490154729418778,-0.0212214339740451
2025-07-15 16:12:39.532,-0.0221298637562141,-0.027451262515818,-0.0495811269818183,-0.0195892511730455
2025-07-15 16:12:39.536,-0.0219044804331487,-0.0273008581256094,-0.0492053392695932,-0.0189650501350172
2025-07-15 16:12:39.540,-0.017800029208528,-0.0274770530211082,-0.0452770829420289,-0.018813953744984
2025-07-15 16:12:39.544,-0.0114448398443371,-0.0282404321084122,-0.0396852726665969,-0.0166037441279336
2025-07-15 16:12:39.547,-0.0091122682897645,-0.0266903189354018,-0.0358025879399053,-0.0115807589422198
2025-07-15 16:12:39.551,-0.0139613243409991,-0.0201318860049364,-0.0340932110615138,-0.007075433358793
2025-07-15 16:12:39.555,-0.0181337065255536,-0.0135474141023659,-0.0316811213448201,-0.0079688281437725
2025-07-15 16:12:39.559,-0.0116087863240013,-0.0132682246358759,-0.0248770116781825,-0.0133314411759694
2025-07-15 16:12:39.563,0.0027420899056523,-0.0163751835722142,-0.013633094385771,-0.0153350345881176
2025-07-15 16:12:39.567,0.0128392727048291,-0.0170119950217747,-0.0041727230368395,-0.0105533118223351
2025-07-15 16:12:39.571,0.0137567244014247,-0.0168990541159291,-0.0031423304354631,-0.006354616898693
2025-07-15 16:12:39.575,0.0115212861868825,-0.0181153828912621,-0.0065940974266147,-0.0100609472400177
2025-07-15 16:12:39.579,0.0137368430678366,-0.0132082497411147,0.0005285926035926,-0.019484746190967
2025-07-15 16:12:39.583,0.0229272162466256,0.0045720373910284,0.0274992529139538,-0.028577019246041
2025-07-15 16:12:39.586,0.0359223043650431,0.0262756084126055,0.0621979120531415,-0.0339990273822779
2025-07-15 16:12:39.590,0.0460111555645302,0.0351685449614615,0.0811796998004119,-0.0350654969795294
2025-07-15 16:12:39.594,0.0483202030174839,0.0290354352553163,0.0773556375463958,-0.0349041642704346
2025-07-15 16:12:39.598,0.045074414481658,0.0229927013486764,0.0680671151034642,-0.0387689356917237
2025-07-15 16:12:39.602,0.0435981579025416,0.0269046052763204,0.0705027624514397,-0.044848004609466
2025-07-15 16:12:39.606,0.0474228450956906,0.0321324662543834,0.0795553106218527,-0.0433933812851064
2025-07-15 16:12:39.610,0.0514262492730468,0.0279939720142443,0.0794202205584035,-0.0313842906531961
2025-07-15 16:12:39.614,0.0489356105622445,0.0189231858800583,0.0678587957130811,-0.0203841546226468
2025-07-15 16:12:39.618,0.0411439560501735,0.0144686745722327,0.0556126298928782,-0.0226147484878346
2025-07-15 16:12:39.622,0.0334968450077197,0.0133982875708176,0.0468951318485199,-0.0348723473970449
2025-07-15 16:12:39.626,0.0247444628097105,0.0094816086452758,0.0342260707245375,-0.0434390904437905
2025-07-15 16:12:39.629,0.0084134742096953,0.0030845996345799,0.0114980731136673,-0.0416191214793848
2025-07-15 16:12:39.633,-0.014628069309833,-0.00372209237102,-0.0183501624115243,-0.0352661249524621
2025-07-15 16:12:39.637,-0.0345124710675794,-0.0137907054959029,-0.0483031772943166,-0.0320020101125576
2025-07-15 16:12:39.641,-0.0453844945804388,-0.0271676305055352,-0.0725521258169389,-0.0318259674034759
2025-07-15 16:12:39.645,-0.0515708795111019,-0.0361836451515701,-0.0877545253935556,-0.0300800457459825
2025-07-15 16:12:39.649,-0.0579849583899171,-0.0363468506836294,-0.0943318098042243,-0.0249778824236163
2025-07-15 16:12:39.653,-0.062686208691941,-0.0334961203652197,-0.0961823297876597,-0.0197029765587415
2025-07-15 16:12:39.657,-0.0633959880598332,-0.0333289080152184,-0.0967248968053391,-0.0194321040380257
2025-07-15 16:12:39.661,-0.064039405067915,-0.032204071080022,-0.0962434768778497,-0.0263050694117319
2025-07-15 16:12:39.665,-0.0683821834606592,-0.0261059914817634,-0.0944881756718292,-0.0346927232777498
2025-07-15 16:12:39.669,-0.0723675655016801,-0.0217377079197403,-0.0941052741502938,-0.0349077386377306
2025-07-15 16:12:39.672,-0.0704323956839204,-0.0279670147348075,-0.0983994111470255,-0.0262679853591526
2025-07-15 16:12:39.676,-0.0662058927332023,-0.0395164875774165,-0.1057223810382097,-0.0198652841973976
2025-07-15 16:12:39.680,-0.067977541768079,-0.0421297025807002,-0.1101072450755253,-0.0221628575114187
2025-07-15 16:12:39.684,-0.0749077772573416,-0.0344289485606596,-0.1093367265438295,-0.0259999732028343
