Time,#Frame,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,FMSQ
2025-03-06 15:18:41.410,1,-0.04361941,3.572875e-07,1.559951e-08,0.9990483,355.0,4.098114e-05,-2.04333e-13,3
2025-03-06 15:18:41.970,2,-0.04361941,1.627656e-07,7.106503e-09,0.9990483,355.0,1.866934e-05,-1.532498e-13,3
2025-03-06 15:18:42.014,3,0.04361941,-1.627656e-07,-7.106503e-09,-0.9990483,355.0,1.866934e-05,-1.532498e-13,3
2025-03-06 15:18:42.128,4,-0.01985513,-0.4754659,0.04165227,-0.8785234,4.272198,56.72895,356.8784,3
2025-03-06 15:18:42.175,5,-0.01972194,-0.4756641,0.04136422,-0.8784327,4.243751,56.75553,356.9012,3
2025-03-06 15:18:42.207,6,-0.01958754,-0.4755817,0.04127068,-0.8784847,4.224799,56.74495,356.903,3
2025-03-06 15:18:42.240,7,-0.01926472,-0.4755685,0.04160615,-0.8784832,4.210479,56.74219,356.8514,3
2025-03-06 15:18:42.271,8,-0.019171,-0.4755994,0.0415844,-0.8784695,4.199948,56.74625,356.8487,3
2025-03-06 15:18:42.300,9,-0.01933575,-0.4756509,0.04142825,-0.8784454,4.208236,56.75344,356.8737,3
2025-03-06 15:18:42.330,10,-0.01918931,-0.4758014,0.04143971,-0.8783666,4.194623,56.773,356.8653,3
2025-03-06 15:18:42.359,11,-0.01915325,-0.4758226,0.04157534,-0.8783494,4.198463,56.7754,356.8497,3
2025-03-06 15:18:42.388,12,-0.01902901,-0.4758692,0.04139665,-0.8783353,4.176346,56.7819,356.8612,3
2025-03-06 15:18:42.420,13,-0.0189154,-0.475942,0.04130959,-0.8783024,4.160396,56.79158,356.8642,3
2025-03-06 15:18:42.448,14,-0.0187452,-0.4759326,0.04135925,-0.8783089,4.145905,56.79015,356.8498,3
2025-03-06 15:18:42.478,15,-0.01863332,-0.4759027,0.04123517,-0.8783333,4.127742,56.78653,356.8561,3
2025-03-06 15:18:42.508,16,-0.01852854,-0.4758467,0.04089399,-0.8783818,4.098354,56.78007,356.8846,3
2025-03-06 15:18:42.535,17,-0.01839662,-0.4757867,0.04102049,-0.8784112,4.091736,56.77186,356.8644,3
2025-03-06 15:18:42.563,18,-0.01830038,-0.4757697,0.04085129,-0.8784302,4.072737,56.77005,356.8762,3
2025-03-06 15:18:42.590,19,-0.01832937,-0.475844,0.04073426,-0.8783948,4.069539,56.78006,356.8899,3
2025-03-06 15:18:42.622,20,-0.01822219,-0.4757251,0.04070598,-0.8784628,4.056764,56.76456,356.8864,3
2025-03-06 15:18:42.651,21,-0.0179834,-0.4756121,0.04066786,-0.8785306,4.030194,56.74986,356.8767,3
2025-03-06 15:18:42.678,22,-0.01781663,-0.4753832,0.04041494,-0.8786696,3.998768,56.72058,356.8922,3
2025-03-06 15:18:42.708,23,-0.01754427,-0.4751064,0.04014871,-0.8788369,3.955801,56.68506,356.903,3
2025-03-06 15:18:42.735,24,-0.01739943,-0.4749406,0.0399058,-0.8789405,3.927372,56.66399,356.9189,3
2025-03-06 15:18:42.763,25,-0.01715234,-0.4746879,0.03923305,-0.8791122,3.864927,56.63261,356.9724,3
2025-03-06 15:18:42.792,26,-0.01705824,-0.47416,0.038527,-0.8794301,3.815221,56.56546,357.0364,3
2025-03-06 15:18:42.823,27,-0.01685864,-0.4730636,0.03775942,-0.8800575,3.749726,56.42436,357.0985,3
2025-03-06 15:18:42.850,28,-0.01667528,-0.4718501,0.03631627,-0.8807728,3.64911,56.26967,357.2296,3
2025-03-06 15:18:42.878,29,-0.01628824,-0.4709361,0.03517938,-0.8813152,3.545699,56.15322,357.3201,3
2025-03-06 15:18:42.907,30,-0.01540564,-0.4701584,0.03484418,-0.8817595,3.43595,56.05261,357.3034,3
2025-03-06 15:18:42.941,31,-0.01392194,-0.4693285,0.03506627,-0.8822174,3.295151,55.94421,357.198,3
2025-03-06 15:18:42.972,32,-0.01311969,-0.4688786,0.03571828,-0.8824428,3.247533,55.88455,357.0871,3
2025-03-06 15:18:43.000,33,-0.01234046,-0.4691159,0.03653594,-0.8822944,3.2134,55.91396,356.9633,3
2025-03-06 15:18:43.029,34,-0.01115256,-0.4699486,0.03700835,-0.8818472,3.121513,56.02182,356.8546,3
2025-03-06 15:18:43.056,35,-0.01079592,-0.4710524,0.03730588,-0.88125,3.105453,56.16494,356.8091,3
2025-03-06 15:18:43.085,36,-0.01081763,-0.472769,0.03760355,-0.8803174,3.12999,56.38766,356.7863,3
2025-03-06 15:18:43.116,37,-0.01090966,-0.4737783,0.0371118,-0.8797943,3.116251,56.51999,356.8445,3
2025-03-06 15:18:43.143,38,-0.01067291,-0.4746165,0.03699618,-0.8793502,3.089077,56.62957,356.8463,3
2025-03-06 15:18:43.171,39,-0.01062073,-0.4745476,0.03654183,-0.879407,3.058845,56.62149,356.8892,3
2025-03-06 15:18:43.199,40,-0.01075977,-0.4741977,0.03567294,-0.8796297,3.024402,56.57748,356.9833,3
2025-03-06 15:18:43.227,41,-0.01089028,-0.473404,0.03479277,-0.8800908,2.987089,56.47569,357.0767,3
2025-03-06 15:18:43.256,42,-0.01100156,-0.4724008,0.03336374,-0.8806835,2.91761,56.34772,357.2238,3
2025-03-06 15:18:43.285,43,-0.01116628,-0.4715222,0.0319586,-0.8812044,2.855539,56.23592,357.372,3
2025-03-06 15:18:43.313,44,-0.01092137,-0.4712368,0.03138058,-0.8813808,2.798701,56.19992,357.4164,3
2025-03-06 15:18:43.343,45,-0.01014146,-0.470717,0.03094131,-0.8816834,2.6946,56.13337,357.4172,3
2025-03-06 15:18:43.371,46,-0.009165424,-0.4704282,0.03114696,-0.8818408,2.606121,56.09596,357.3429,3
2025-03-06 15:18:43.400,47,-0.008203498,-0.4698208,0.0311367,-0.8821745,2.506411,56.01768,357.2905,3
2025-03-06 15:18:43.428,48,-0.007719798,-0.4686821,0.0304003,-0.88281,2.414378,55.87135,357.3359,3
2025-03-06 15:18:43.455,49,-0.007720711,-0.4676388,0.02993222,-0.8833791,2.386231,55.73669,357.3806,3
2025-03-06 15:18:43.485,50,-0.008138077,-0.4663318,0.03077541,-0.884037,2.469745,55.56561,357.3138,3
2025-03-06 15:18:43.514,51,-0.0071633,-0.4661478,0.03293855,-0.8840646,2.485933,55.53918,357.0417,3
2025-03-06 15:18:43.543,52,-0.003927562,-0.4665145,0.03571,-0.8837838,2.307391,55.58688,356.5887,3
2025-03-06 15:18:43.571,53,-0.001113932,-0.467605,0.03712248,-0.8831571,2.102359,55.73178,356.2977,3
2025-03-06 15:18:43.600,54,0.001522705,-0.4694821,0.03828541,-0.8821104,1.906137,55.98029,356.0428,3
2025-03-06 15:18:43.627,55,0.00276576,-0.4709063,0.03869002,-0.8813302,1.808764,56.16821,355.9379,3
2025-03-06 15:18:43.656,56,0.003860943,-0.47344,0.04032926,-0.8798939,1.798955,56.49902,355.7181,3
2025-03-06 15:18:43.687,57,0.004746574,-0.4765005,0.04314001,-0.8781024,1.878292,56.8972,355.3925,3
2025-03-06 15:18:43.714,58,0.005411113,-0.4788883,0.04506123,-0.876702,1.929555,57.2087,355.1676,3
2025-03-06 15:18:43.744,59,0.005749973,-0.4822363,0.04636639,-0.8747945,1.986213,57.64579,355.0251,3
2025-03-06 15:18:43.772,60,0.006287346,-0.484433,0.04648345,-0.8735701,1.951376,57.93519,354.9885,3
2025-03-06 15:18:43.799,61,0.007554975,-0.4874211,0.04600475,-0.8719217,1.815014,58.33239,354.9725,3
2025-03-06 15:18:43.828,62,0.008757566,-0.4888748,0.04463503,-0.8711673,1.62646,58.52948,355.0454,3
2025-03-06 15:18:43.855,63,0.01070428,-0.4901249,0.04197451,-0.8705752,1.289708,58.70412,355.2046,3
