Time,#Frame,HeadQRotationX,HeadQRotationY,HeadQRotationZ,HeadQRotationW,HeadEulX,HeadEulY,HeadEulZ,FMSQ
2025-03-08 12:31:15.987,1,-0.04361941,3.572875e-07,1.559951e-08,0.9990483,355.0,4.098114e-05,-2.04333e-13,9
2025-03-08 12:31:16.542,2,-0.04361941,1.627656e-07,7.106503e-09,0.9990483,355.0,1.866934e-05,-1.532498e-13,9
2025-03-08 12:31:16.575,3,0.04361941,-1.627656e-07,-7.106503e-09,-0.9990483,355.0,1.866934e-05,-1.532498e-13,9
2025-03-08 12:31:16.680,4,0.1002697,-0.6569486,-0.04744102,-0.7457306,347.7674,83.14015,356.4221,9
2025-03-08 12:31:16.729,5,0.09985958,-0.6565333,-0.04838638,-0.7460905,347.7286,83.06501,356.543,9
2025-03-08 12:31:16.757,6,0.1001518,-0.6563694,-0.0493013,-0.7461356,347.633,83.04395,356.6017,9
2025-03-08 12:31:16.782,7,0.1004812,-0.6562715,-0.04941564,-0.7461699,347.5955,83.03556,356.5871,9
2025-03-08 12:31:16.809,8,0.1007958,-0.6561106,-0.04964063,-0.746254,347.5506,83.01688,356.5844,9
2025-03-08 12:31:16.837,9,0.1012293,-0.6560895,-0.04993297,-0.7461944,347.4909,83.02235,356.5757,9
2025-03-08 12:31:16.863,10,0.1009362,-0.6559286,-0.04996812,-0.7463732,347.5127,82.99095,356.6047,9
2025-03-08 12:31:16.889,11,0.101036,-0.6555278,-0.05065848,-0.7466651,347.4497,82.92945,356.6632,9
2025-03-08 12:31:16.914,12,0.1011629,-0.6550586,-0.05115087,-0.7470261,347.3992,82.85834,356.7038,9
2025-03-08 12:31:16.938,13,0.1013926,-0.6546429,-0.05156606,-0.7473308,347.346,82.7979,356.7287,9
2025-03-08 12:31:16.964,14,0.1017148,-0.6541862,-0.05202848,-0.7476549,347.2811,82.73302,356.7512,9
2025-03-08 12:31:16.988,15,0.1021498,-0.6539122,-0.05264759,-0.7477919,347.1954,82.69857,356.7752,9
2025-03-08 12:31:17.016,16,0.1022315,-0.653805,-0.05300843,-0.747849,347.1604,82.68292,356.8018,9
2025-03-08 12:31:17.040,17,0.1020646,-0.6537457,-0.05310423,-0.7479168,347.1673,82.66991,356.8243,9
2025-03-08 12:31:17.068,18,0.1019459,-0.6538259,-0.05360376,-0.7478272,347.1399,82.67866,356.8756,9
2025-03-08 12:31:17.094,19,0.1017181,-0.6538184,-0.05370364,-0.7478577,347.1519,82.67234,356.9023,9
2025-03-08 12:31:17.120,20,0.1017859,-0.653797,-0.05389971,-0.7478531,347.1311,82.67005,356.9144,9
2025-03-08 12:31:17.145,21,0.1021397,-0.6537355,-0.05440124,-0.7478223,347.0622,82.66705,356.931,9
2025-03-08 12:31:17.171,22,0.1021614,-0.6536874,-0.0544401,-0.7478585,347.0572,82.65997,356.9335,9
2025-03-08 12:31:17.197,23,0.1022711,-0.6535664,-0.05477514,-0.7479249,347.0218,82.64281,356.956,9
2025-03-08 12:31:17.222,24,0.1022683,-0.6535225,-0.05498436,-0.7479482,347.006,82.63548,356.9751,9
2025-03-08 12:31:17.248,25,0.1024734,-0.6534466,-0.05568389,-0.7479346,346.9348,82.62657,357.0209,9
2025-03-08 12:31:17.272,26,0.1026334,-0.653499,-0.05594359,-0.7478476,346.9015,82.63758,357.0299,9
2025-03-08 12:31:17.297,27,0.1029678,-0.6535999,-0.05637563,-0.747681,346.8402,82.65953,357.0391,9
2025-03-08 12:31:17.322,28,0.1030472,-0.6538216,-0.05630025,-0.7474819,346.8399,82.69585,357.0223,9
2025-03-08 12:31:17.353,29,0.1033127,-0.654054,-0.05617866,-0.747251,346.8272,82.73804,356.9867,9
2025-03-08 12:31:17.382,30,0.1032423,-0.6543684,-0.05565951,-0.7470243,346.8741,82.78651,356.9417,9
2025-03-08 12:31:17.408,31,0.102436,-0.6546975,-0.05421313,-0.7469532,347.055,82.82322,356.8744,9
2025-03-08 12:31:17.434,32,0.102116,-0.6546979,-0.05382603,-0.7470247,347.112,82.81716,356.8661,9
2025-03-08 12:31:17.463,33,0.102089,-0.6547028,-0.05418865,-0.7469978,347.0868,82.81655,356.8996,9
2025-03-08 12:31:17.487,34,0.1024022,-0.6545393,-0.05455397,-0.7470718,347.0313,82.79714,356.9093,9
2025-03-08 12:31:17.513,35,0.1024844,-0.6544308,-0.05511707,-0.7471142,346.9809,82.78085,356.9535,9
2025-03-08 12:31:17.539,36,0.1025636,-0.6543095,-0.05555668,-0.747177,346.9402,82.76275,356.9875,9
2025-03-08 12:31:17.563,37,0.1022701,-0.6542859,-0.05515293,-0.7472678,346.9961,82.7536,356.9761,9
2025-03-08 12:31:17.588,38,0.1017319,-0.6542649,-0.05443894,-0.7474121,347.0967,82.74026,356.9572,9
2025-03-08 12:31:17.615,39,0.1014022,-0.6543773,-0.05458738,-0.7473477,347.1143,82.75027,356.994,9
2025-03-08 12:31:17.640,40,0.1007243,-0.6546647,-0.05416817,-0.747218,347.2058,82.78127,357.0063,9
2025-03-08 12:31:17.664,41,0.1006095,-0.654859,-0.05414044,-0.7470653,347.2186,82.80903,357.0095,9
