Timestamp,GSR_Filtered,PPG_Filtered,FMS,Condition
2025-06-25 13:55:59.690,3.02017230484467e-05,0.1445638417371875,1,NB
2025-06-25 13:55:59.697,3.195797536027076e-05,0.1825791651786324,1,NB
2025-06-25 13:55:59.705,3.2605021415831955e-05,0.2111386290263361,1,NB
2025-06-25 13:55:59.713,3.221705437344905e-05,0.2297488589273847,1,NB
2025-06-25 13:55:59.721,3.0901042180887744e-05,0.2381314240944108,1,NB
2025-06-25 13:55:59.729,2.8791349244757144e-05,0.2362390726302136,1,NB
2025-06-25 13:55:59.737,2.6043311737600887e-05,0.224266907138126,1,NB
2025-06-25 13:55:59.744,2.2826000024458616e-05,0.2026580244787439,1,NB
2025-06-25 13:55:59.752,1.931439595944225e-05,0.1721032468125942,1,NB
2025-06-25 13:55:59.760,1.5681239786754103e-05,0.133534677039105,1,NB
2025-06-25 13:55:59.768,1.208888204072848e-05,0.088112926967869,1,NB
2025-06-25 13:55:59.776,8.681596180120293e-06,0.0372079986334195,1,NB
2025-06-25 13:55:59.783,5.578907892074062e-06,-0.0176260482893055,1,NB
2025-06-25 13:55:59.791,2.870504627153961e-06,-0.0746823398372216,1,NB
2025-06-25 13:55:59.799,6.131705474751158e-07,-0.1321378593434819,1,NB
2025-06-25 13:55:59.807,-1.1700258858512205e-06,-0.188094887187556,1,NB
2025-06-25 13:55:59.815,-2.48831942626498e-06,-0.2406263833332852,1,NB
2025-06-25 13:55:59.822,-3.3798665343658047e-06,-0.2878243410685668,1,NB
2025-06-25 13:55:59.830,-3.906808811652219e-06,-0.3278500157844718,1,NB
2025-06-25 13:55:59.838,-4.149267204314712e-06,-0.3589848289280246,1,NB
2025-06-25 13:55:59.846,-4.198738505477996e-06,-0.3796806629452237,1,NB
2025-06-25 13:55:59.854,-4.151278160289541e-06,-0.3886081980526269,1,NB
2025-06-25 13:55:59.862,-4.10073906356987e-06,-0.3847018967766007,1,NB
2025-06-25 13:55:59.869,-4.132268150392989e-06,-0.3672002170402692,1,NB
2025-06-25 13:55:59.877,-4.316279725658589e-06,-0.3356796294611545,1,NB
2025-06-25 13:55:59.885,-4.703190145126102e-06,-0.2900810356527497,1,NB
2025-06-25 13:55:59.893,-5.319241473588044e-06,-0.2307272462393052,1,NB
2025-06-25 13:55:59.901,-6.163719234274518e-06,-0.1583302985582227,1,NB
2025-06-25 13:55:59.908,-7.207781471245751e-06,-0.0739875900230323,1,NB
2025-06-25 13:55:59.916,-8.39499487991122e-06,0.0208339178039434,1,NB
2025-06-25 13:55:59.924,-9.643566351615529e-06,0.1243258052969236,1,NB
2025-06-25 13:55:59.932,-1.0850184306999353e-05,0.2343785465792098,1,NB
2025-06-25 13:55:59.940,-1.189531134607997e-05,0.3486335287795595,1,NB
2025-06-25 13:55:59.947,-1.2649672259758302e-05,0.4645456043584831,1,NB
2025-06-25 13:55:59.955,-1.2981589973757566e-05,0.579454483845592,1,NB
2025-06-25 13:55:59.963,-1.2764773675753796e-05,0.690662762832118,1,NB
2025-06-25 13:55:59.971,-1.18861451722509e-05,0.7955179531545127,1,NB
2025-06-25 13:55:59.979,-1.0253269653278742e-05,0.8914955893508288,1,NB
2025-06-25 13:55:59.987,-7.800938282863645e-06,0.9762803292682852,1,NB
2025-06-25 13:55:59.994,-4.496466353591284e-06,1.0478419681744138,1,NB
2025-06-25 13:56:00.002,-3.433436964955761e-07,1.1045034309134654,1,NB
2025-06-25 13:56:00.010,4.617017391218692e-06,1.1449980787053016,1,NB
2025-06-25 13:56:00.018,1.0305585672668665e-05,1.1685140439199948,1,NB
2025-06-25 13:56:00.026,1.6608114341742882e-05,1.1747237668278536,1,NB
2025-06-25 13:56:00.033,2.3379565182843256e-05,1.1637974367081236,1,NB
2025-06-25 13:56:00.041,3.045031195295812e-05,1.1363996225462742,1,NB
2025-06-25 13:56:00.049,3.7633722664624936e-05,1.0936690019943174,1,NB
2025-06-25 13:56:00.057,4.473460599852782e-05,1.037181744545206,1,NB
2025-06-25 13:56:00.065,5.155793868685234e-05,0.968899754106141,1,NB
2025-06-25 13:56:00.072,5.791725899820446e-05,0.8911055974098052,1,NB
2025-06-25 13:56:00.080,6.36421402055529e-05,0.8063265002615861,1,NB
2025-06-25 13:56:00.088,6.858428039931186e-05,0.7172502448279721,1,NB
2025-06-25 13:56:00.096,7.262194411078342e-05,0.6266361187115437,1,NB
2025-06-25 13:56:00.104,7.566269355726947e-05,0.537224236620953,1,NB
2025-06-25 13:56:00.112,7.764447970476458e-05,0.4516465772556081,1,NB
2025-06-25 13:56:00.119,7.853521079630459e-05,0.3723429569094382,1,NB
2025-06-25 13:56:00.127,7.833092390072005e-05,0.3014849056311969,1,NB
2025-06-25 13:56:00.135,7.705271013267793e-05,0.2409100358211089,1,NB
2025-06-25 13:56:00.143,7.47426181193273e-05,0.1920690198499929,1,NB
2025-06-25 13:56:00.151,7.145888176711875e-05,0.1559867526966188,1,NB
2025-06-25 13:56:00.158,6.727094345859545e-05,0.1332387002476853,1,NB
2025-06-25 13:56:00.166,6.225479889763526e-05,0.123942853586663,1,NB
2025-06-25 13:56:00.174,5.648912983030967e-05,0.1277671471339502,1,NB
2025-06-25 13:56:00.182,5.005254159331466e-05,0.1439516686920496,1,NB
2025-06-25 13:56:00.190,4.30220551786112e-05,0.1713445014707325,1,NB
2025-06-25 13:56:00.197,3.547287050717112e-05,0.2084495995428954,1,NB
2025-06-25 13:56:00.205,2.747931433606701e-05,0.2534847186088,1,NB
2025-06-25 13:56:00.213,1.9116782487224556e-05,0.3044471168893908,1,NB
2025-06-25 13:56:00.221,1.046438419462824e-05,0.3591845215277384,1,NB
2025-06-25 13:56:00.229,1.6079278605522665e-06,0.415468737001394,1,NB
2025-06-25 13:56:00.237,-7.357136797920681e-06,0.4710692628051553,1,NB
2025-06-25 13:56:00.244,-1.632319890625696e-05,0.5238243930749079,1,NB
2025-06-25 13:56:00.252,-2.51687387584912e-05,0.571707489351741,1,NB
2025-06-25 13:56:00.260,-3.375765971857358e-05,0.6128864364968696,1,NB
2025-06-25 13:56:00.268,-4.193996518166513e-05,0.6457746846757512,1,NB
2025-06-25 13:56:00.276,-4.955398786222239e-05,0.6690727113882072,1,NB
